CustomerKey,GeographyKey,Title,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance,Region,Age,BikeBuyer
22590,171,NULL,Oscar,B,Hughes,0,1959-10-04,M,NULL,M,oscar19@adventure-works.com,20000.00,2,0,Partial College,Manual,0,1,Platz des Landtags 55,NULL,1 (11) 500 555-0132,2007-11-14,0-1 Miles,Europe,57,1
22591,147,NULL,Jon,G,Becker,0,1958-04-10,S,NULL,M,jon17@adventure-works.com,30000.00,1,0,Graduate Degree,Clerical,0,0,Helsenbergbogen 2,NULL,1 (11) 500 555-0155,2007-11-24,0-1 Miles,Europe,59,1
22592,269,NULL,Lindsey,K,Anand,0,1960-02-02,S,NULL,F,lindsey22@adventure-works.com,30000.00,3,0,Graduate Degree,Clerical,1,0,1915 Seawind Dr.,NULL,1 (11) 500 555-0155,2008-05-19,0-1 Miles,Europe,57,1
22593,190,NULL,Thomas,C,Johnson,0,1960-09-16,S,NULL,M,thomas61@adventure-works.com,30000.00,3,0,Bachelors,Clerical,0,0,"22, avenue de Malakoff",NULL,1 (11) 500 555-0170,2008-02-27,0-1 Miles,Europe,57,1
22594,231,NULL,Gabriella,S,James,0,1960-11-22,M,NULL,F,gabriella5@adventure-works.com,30000.00,3,0,Bachelors,Clerical,0,0,5886 Book Rd,NULL,1 (11) 500 555-0137,2008-05-07,0-1 Miles,Europe,56,1
22595,180,NULL,Nicolas,W,Xie,0,1960-09-21,M,NULL,M,nicolas1@adventure-works.com,40000.00,3,0,Graduate Degree,Clerical,1,0,"64, rue des Grands Champs",NULL,1 (11) 500 555-0111,2008-01-07,0-1 Miles,Europe,57,1
22596,248,NULL,Omar,A,Xu,0,1959-05-12,M,NULL,M,omar11@adventure-works.com,30000.00,0,0,Bachelors,Clerical,1,0,4789 Estrada,NULL,1 (11) 500 555-0110,2008-05-04,0-1 Miles,Europe,58,1
22597,140,NULL,Rachael,V,Chandra,0,1959-09-25,M,NULL,F,rachael2@adventure-works.com,30000.00,0,0,Bachelors,Clerical,1,0,Kulmer Straße 4636,NULL,1 (11) 500 555-0121,2007-11-17,0-1 Miles,Europe,58,1
22598,163,NULL,Donald,NULL,Sanchez,0,1959-04-03,S,NULL,M,donald22@adventure-works.com,30000.00,0,0,Bachelors,Clerical,0,0,Welt Platz 990,NULL,1 (11) 500 555-0141,2007-11-27,0-1 Miles,Europe,58,1
22599,244,NULL,Philip,NULL,Gill,0,1959-09-13,M,NULL,M,philip14@adventure-works.com,40000.00,3,0,Graduate Degree,Clerical,0,0,2988 Wightman Lane,NULL,1 (11) 500 555-0132,2008-05-14,0-1 Miles,Europe,58,1
22600,241,NULL,Maurice,L,Kumar,0,1958-08-13,S,NULL,M,maurice8@adventure-works.com,30000.00,1,0,Bachelors,Clerical,1,0,5846 Premier Place,NULL,1 (11) 500 555-0189,2008-06-18,0-1 Miles,Europe,59,1
22601,183,NULL,Aimee,NULL,Gao,0,1958-07-24,M,NULL,F,aimee10@adventure-works.com,30000.00,1,0,Bachelors,Clerical,0,0,"67, rue des Berges",NULL,1 (11) 500 555-0111,2008-02-23,0-1 Miles,Europe,59,1
22602,275,NULL,Kelli,NULL,Andersen,0,1970-11-05,S,NULL,F,kelli36@adventure-works.com,10000.00,2,2,High School,Manual,1,0,1826 Village Road,NULL,1 (11) 500 555-0131,2008-06-09,0-1 Miles,Europe,46,1
22603,189,NULL,Autumn,NULL,He,0,1970-09-04,S,NULL,F,autumn18@adventure-works.com,10000.00,2,2,High School,Manual,1,0,"242, avenue de la Gare",NULL,1 (11) 500 555-0182,2008-02-28,0-1 Miles,Europe,47,1
22604,243,NULL,Wyatt,V,Simmons,0,1970-09-08,S,NULL,M,wyatt65@adventure-works.com,20000.00,0,0,Partial College,Manual,1,1,143 Pecan Pl.,NULL,1 (11) 500 555-0114,2008-06-14,2-5 Miles,Europe,47,1
22605,273,NULL,Derrick,R,Schmidt,0,1970-03-05,S,NULL,M,derrick18@adventure-works.com,20000.00,0,0,Partial College,Manual,0,1,6084 Norris Court,NULL,1 (11) 500 555-0156,2008-06-14,1-2 Miles,Europe,47,1
22606,149,NULL,Alfredo,C,Hernandez,0,1970-03-17,S,NULL,M,alfredo5@adventure-works.com,20000.00,0,0,Partial College,Manual,1,1,Karl Liebknecht str 299,NULL,1 (11) 500 555-0142,2007-11-07,2-5 Miles,Europe,47,1
22607,171,NULL,Whitney,Y,Gonzalez,0,1970-03-04,S,NULL,F,whitney17@adventure-works.com,20000.00,0,0,Partial College,Manual,0,1,Heidestieg Straße 2664,NULL,1 (11) 500 555-0140,2007-12-15,1-2 Miles,Europe,47,1
22608,233,NULL,Arthur,L,Munoz,0,1969-05-06,S,NULL,M,arthur31@adventure-works.com,10000.00,2,2,High School,Manual,1,0,2199 Laverne Way,NULL,1 (11) 500 555-0117,2008-06-19,0-1 Miles,Europe,48,1
22609,141,NULL,Clarence,L,Cai,0,1970-07-20,M,NULL,M,clarence14@adventure-works.com,30000.00,0,0,Bachelors,Clerical,1,0,Auf der Krone 493,NULL,1 (11) 500 555-0126,2007-12-09,0-1 Miles,Europe,47,1
22610,163,NULL,Brent,A,Chen,0,1970-10-17,M,NULL,M,brent2@adventure-works.com,30000.00,0,0,Bachelors,Clerical,1,0,Kampstr 5998,NULL,1 (11) 500 555-0197,2007-12-06,0-1 Miles,Europe,46,1
22611,267,NULL,Chad,NULL,Deng,0,1970-05-13,M,NULL,M,chad2@adventure-works.com,40000.00,0,0,Graduate Degree,Clerical,1,0,975 Harris Circle,NULL,1 (11) 500 555-0167,2008-05-27,0-1 Miles,Europe,47,1
22612,191,NULL,Franklin,M,Huang,0,1969-06-14,S,NULL,M,franklin6@adventure-works.com,20000.00,0,0,Partial College,Manual,0,1,"3355, rue de Longchamp",NULL,1 (11) 500 555-0157,2008-02-08,2-5 Miles,Europe,48,1
22613,264,NULL,Dale,M,Luo,0,1969-06-20,S,NULL,M,dale5@adventure-works.com,20000.00,0,0,Partial College,Manual,0,1,3913 Euclid Ave.,NULL,1 (11) 500 555-0128,2007-07-14,2-5 Miles,Europe,48,1
22614,255,NULL,Tommy,H,Shan,0,1969-11-11,S,NULL,M,tommy7@adventure-works.com,30000.00,0,0,Bachelors,Clerical,1,0,7833 Cook Pkwy,NULL,1 (11) 500 555-0113,2007-07-22,0-1 Miles,Europe,47,1
22615,157,NULL,Misty,NULL,Xu,0,1969-04-17,S,NULL,F,misty6@adventure-works.com,30000.00,0,0,Bachelors,Clerical,0,0,Postenweg 2428,NULL,1 (11) 500 555-0142,2007-12-21,0-1 Miles,Europe,48,1
22616,258,NULL,Jake,NULL,Zhang,0,1969-08-18,S,NULL,M,jake0@adventure-works.com,40000.00,0,0,Graduate Degree,Clerical,1,0,2901 Ninth Avenue SW Court,NULL,1 (11) 500 555-0179,2008-05-31,0-1 Miles,Europe,48,1
22617,117,NULL,Andres,NULL,Nath,0,1969-08-20,M,NULL,M,andres15@adventure-works.com,40000.00,0,0,Graduate Degree,Clerical,1,0,Wolfgangstraße 10,NULL,1 (11) 500 555-0159,2008-06-18,0-1 Miles,Europe,48,1
22618,244,NULL,Rosa,NULL,Cai,0,1969-08-01,M,NULL,F,rosa21@adventure-works.com,40000.00,0,0,Graduate Degree,Clerical,1,0,302 Camelback Ct.,NULL,1 (11) 500 555-0129,2008-06-08,0-1 Miles,Europe,48,1
22619,147,NULL,Robin,NULL,Hernandez,0,1969-02-11,S,NULL,F,robin1@adventure-works.com,50000.00,0,0,Graduate Degree,Skilled Manual,0,0,Wallstr 824,NULL,1 (11) 500 555-0128,2008-06-14,0-1 Miles,Europe,48,1
22620,157,NULL,Stefanie,R,Suri,0,1969-03-13,S,NULL,F,stefanie0@adventure-works.com,50000.00,0,0,Graduate Degree,Skilled Manual,0,0,Heiderweg 4982,NULL,1 (11) 500 555-0154,2007-08-13,0-1 Miles,Europe,48,1
22621,162,NULL,Xavier,NULL,Davis,0,1969-12-09,M,NULL,M,xavier5@adventure-works.com,50000.00,0,0,Graduate Degree,Skilled Manual,1,0,Winter der Böck 441,NULL,1 (11) 500 555-0173,2007-10-23,0-1 Miles,Europe,47,1
22622,257,NULL,Neil,M,Sanz,0,1952-05-13,M,NULL,M,neil19@adventure-works.com,10000.00,3,0,Partial College,Manual,0,2,9667 Argonne Drive,NULL,1 (11) 500 555-0153,2008-02-28,0-1 Miles,Europe,65,0
22623,176,NULL,Jamie,M,Suarez,0,1952-03-01,S,NULL,M,jamie41@adventure-works.com,10000.00,3,0,Partial College,Manual,0,2,Am Grossen Dern 46,NULL,1 (11) 500 555-0146,2007-12-30,0-1 Miles,Europe,65,1
22624,189,NULL,Sandra,NULL,Wu,0,1951-10-18,M,NULL,F,sandra13@adventure-works.com,10000.00,3,0,High School,Manual,0,2,"70, place de la République",NULL,1 (11) 500 555-0167,2008-07-05,0-1 Miles,Europe,65,0
22625,221,NULL,Meagan,NULL,Patel,0,1968-07-24,S,NULL,F,meagan3@adventure-works.com,10000.00,3,3,High School,Manual,1,0,"766, rue de Berri",NULL,1 (11) 500 555-0128,2007-08-29,0-1 Miles,Europe,49,0
22626,208,NULL,Arturo,NULL,Anand,0,1968-03-25,S,NULL,M,arturo46@adventure-works.com,10000.00,3,3,High School,Manual,1,0,"1112, rue des Grands Champs",NULL,1 (11) 500 555-0187,2008-02-08,0-1 Miles,Europe,49,1
22627,144,NULL,Shawna,K,Sharma,0,1968-05-17,S,NULL,F,shawna10@adventure-works.com,20000.00,1,1,Partial College,Manual,0,0,Hansaallee 59,NULL,1 (11) 500 555-0114,2007-12-27,0-1 Miles,Europe,49,1
22628,130,NULL,Marshall,J,Lu,0,1968-06-25,M,NULL,M,marshall10@adventure-works.com,20000.00,1,1,Partial College,Manual,1,1,Alderweg 4918,NULL,1 (11) 500 555-0178,2007-12-06,2-5 Miles,Europe,49,1
22629,241,NULL,Matthew,NULL,Rodriguez,0,1923-08-03,M,NULL,M,matthew25@adventure-works.com,40000.00,1,0,Graduate Degree,Clerical,1,0,9222 Roseann Drive,NULL,1 (11) 500 555-0197,2007-12-08,0-1 Miles,Europe,94,0
22630,237,NULL,Roger,NULL,Wu,0,1968-10-08,M,NULL,M,roger11@adventure-works.com,30000.00,1,0,Bachelors,Clerical,1,0,5453 James Donlon Blvd.,NULL,1 (11) 500 555-0116,2007-07-23,1-2 Miles,Europe,48,1
22631,237,NULL,Theodore,NULL,Serrano,0,1968-09-15,S,NULL,M,theodore17@adventure-works.com,30000.00,1,0,Bachelors,Clerical,0,0,5071 Paradise Ct.,NULL,1 (11) 500 555-0187,2007-07-10,0-1 Miles,Europe,49,1
22632,199,NULL,Tabitha,C,Perez,0,1968-04-12,M,NULL,F,tabitha18@adventure-works.com,40000.00,0,0,Graduate Degree,Clerical,1,0,"244, boulevard d´Albi",NULL,1 (11) 500 555-0169,2008-02-09,0-1 Miles,Europe,49,1
22633,120,NULL,Claudia,E,Zhao,0,1968-10-05,S,NULL,F,claudia9@adventure-works.com,40000.00,0,0,Graduate Degree,Clerical,1,0,Lützowplatz 5928,NULL,1 (11) 500 555-0141,2007-11-09,0-1 Miles,Europe,48,1
22634,241,NULL,Giraldo,Hierro,Sandoval,0,1968-05-27,S,NULL,F,giraldo0@adventure-works.com,40000.00,0,0,Graduate Degree,Clerical,1,0,6526 Creed Ave,NULL,1 (11) 500 555-0196,2008-06-25,0-1 Miles,Europe,49,1
22635,244,NULL,Kristi,L,Hernandez,0,1968-01-14,S,NULL,F,kristi0@adventure-works.com,40000.00,0,0,Graduate Degree,Clerical,0,0,4443 Virginia Lane,NULL,1 (11) 500 555-0182,2008-06-12,0-1 Miles,Europe,49,1
22636,265,NULL,Stacey,E,Zhu,0,1968-05-14,S,NULL,F,stacey15@adventure-works.com,40000.00,0,0,Bachelors,Clerical,0,0,8796 Walnut Ave.,NULL,1 (11) 500 555-0175,2008-06-25,0-1 Miles,Europe,49,1
22637,267,NULL,Ana,R,Alexander,0,1968-12-16,M,NULL,F,ana17@adventure-works.com,40000.00,0,0,Bachelors,Clerical,1,0,8494 Military Way,NULL,1 (11) 500 555-0181,2008-06-07,0-1 Miles,Europe,48,1
22638,161,NULL,Kristi,NULL,Gutierrez,0,1967-10-19,S,NULL,F,kristi6@adventure-works.com,10000.00,3,3,Partial High School,Manual,1,1,Hunzinger Allee 664,NULL,1 (11) 500 555-0147,2007-12-14,0-1 Miles,Europe,49,1
22639,239,NULL,Lori,M,Munoz,0,1967-04-10,S,NULL,F,lori10@adventure-works.com,20000.00,1,1,Partial College,Manual,1,1,2934 Bentley St.,NULL,1 (11) 500 555-0132,2007-08-24,2-5 Miles,Europe,50,1
22640,261,NULL,Caleb,NULL,Li,0,1967-06-17,M,NULL,M,caleb22@adventure-works.com,20000.00,1,1,Partial College,Manual,1,1,6387 Tanager Road,NULL,1 (11) 500 555-0150,2007-08-17,2-5 Miles,Europe,50,1
22641,223,NULL,Abigail,G,Diaz,0,1967-03-24,S,NULL,F,abigail70@adventure-works.com,20000.00,1,1,Partial College,Manual,1,1,"34, route de Marseille",NULL,1 (11) 500 555-0123,2008-03-21,2-5 Miles,Europe,50,1
22642,269,NULL,Garrett,NULL,Rivera,0,1967-04-24,S,NULL,M,garrett21@adventure-works.com,20000.00,1,1,Partial College,Manual,0,1,6541 Central Ave.,NULL,1 (11) 500 555-0178,2007-08-18,1-2 Miles,Europe,50,1
22643,230,NULL,Brenda,D,Suri,0,1967-11-13,S,NULL,F,brenda4@adventure-works.com,20000.00,1,1,High School,Manual,1,1,7271 Adelaide St,NULL,1 (11) 500 555-0180,2007-08-26,2-5 Miles,Europe,49,1
22644,147,NULL,Marc,C,Ortega,0,1967-03-16,S,NULL,M,marc26@adventure-works.com,30000.00,1,1,Bachelors,Clerical,1,0,Rotthäuser Weg 2200,NULL,1 (11) 500 555-0167,2007-12-25,1-2 Miles,Europe,50,1
22645,184,NULL,Isabella,NULL,Murphy,0,1967-02-08,S,NULL,F,isabella89@adventure-works.com,30000.00,1,1,Bachelors,Clerical,0,1,"9955, rue Ste-Honoré",NULL,1 (11) 500 555-0117,2008-03-18,0-1 Miles,Europe,50,1
22646,247,NULL,Cara,H,She,0,1966-07-25,S,NULL,F,cara19@adventure-works.com,20000.00,1,1,High School,Manual,0,1,4612 A St.,NULL,1 (11) 500 555-0171,2007-08-20,1-2 Miles,Europe,51,1
22647,207,NULL,Taylor,D,Martinez,0,1967-11-27,S,NULL,F,taylor64@adventure-works.com,40000.00,0,0,Bachelors,Clerical,0,0,"577, avenue de Villiers",NULL,1 (11) 500 555-0150,2008-03-01,0-1 Miles,Europe,49,1
22648,222,NULL,Kaitlin,J,Srini,0,1967-10-03,S,NULL,F,kaitlin8@adventure-works.com,40000.00,0,0,Bachelors,Clerical,0,0,"44bis, boulevard Saint Germain",NULL,1 (11) 500 555-0184,2008-03-09,0-1 Miles,Europe,49,1
22649,184,NULL,Corey,NULL,Tang,0,1966-08-20,S,NULL,M,corey4@adventure-works.com,30000.00,1,1,Bachelors,Clerical,0,1,"31, place de Fontenoy",NULL,1 (11) 500 555-0128,2008-03-23,0-1 Miles,Europe,51,1
22650,115,NULL,Kristina,J,Suri,0,1966-04-20,S,NULL,F,kristina0@adventure-works.com,30000.00,1,1,Bachelors,Clerical,0,1,Kapellstr 4961,NULL,1 (11) 500 555-0187,2007-12-09,0-1 Miles,Europe,51,1
22651,211,NULL,Frederick,NULL,Sara,0,1966-11-15,S,NULL,M,frederick9@adventure-works.com,30000.00,1,1,Bachelors,Clerical,0,1,"410, rue de l´Esplanade",NULL,1 (11) 500 555-0190,2008-03-25,0-1 Miles,Europe,50,1
22652,168,NULL,Gilbert,B,Shan,0,1965-12-02,S,NULL,M,gilbert31@adventure-works.com,20000.00,2,2,High School,Manual,1,0,Heidestieg Straße 8224,NULL,1 (11) 500 555-0156,2007-12-20,0-1 Miles,Europe,51,1
22653,256,NULL,Carolyn,F,Dominguez,0,1965-06-17,S,NULL,F,carolyn33@adventure-works.com,20000.00,2,2,High School,Manual,1,0,9678 Redlands Way,NULL,1 (11) 500 555-0199,2007-08-15,0-1 Miles,Europe,52,1
22654,215,NULL,Orlando,NULL,Romero,0,1965-09-22,S,NULL,M,orlando9@adventure-works.com,20000.00,2,2,High School,Manual,1,1,"8, rue de la Comédie",NULL,1 (11) 500 555-0112,2008-03-19,0-1 Miles,Europe,52,1
22655,120,NULL,Lucas,M,Young,0,1965-04-16,S,NULL,M,lucas40@adventure-works.com,20000.00,2,2,High School,Manual,1,1,Alderstr 284,NULL,1 (11) 500 555-0153,2008-01-17,0-1 Miles,Europe,52,1
22656,243,NULL,Willie,T,Goel,0,1964-04-25,S,NULL,M,willie38@adventure-works.com,10000.00,5,2,Partial High School,Manual,1,1,9440 Newell Ave.,NULL,1 (11) 500 555-0186,2007-09-23,0-1 Miles,Europe,53,1
22657,273,NULL,Clinton,NULL,Suarez,0,1964-02-19,S,NULL,M,clinton15@adventure-works.com,10000.00,3,2,Partial High School,Manual,1,1,4037 Trasher Road,NULL,1 (11) 500 555-0133,2008-03-11,0-1 Miles,Europe,53,0
22658,220,NULL,Devin,NULL,Rodriguez,0,1964-11-17,S,NULL,M,devin19@adventure-works.com,20000.00,2,2,High School,Manual,1,2,"30, allée des Princes",NULL,1 (11) 500 555-0149,2008-05-09,0-1 Miles,Europe,52,0
22659,120,NULL,Shawna,NULL,Luo,0,1964-02-23,S,NULL,F,shawna6@adventure-works.com,20000.00,2,2,High School,Manual,1,2,Alderweg 20,NULL,1 (11) 500 555-0185,2008-05-12,0-1 Miles,Europe,53,0
22660,155,NULL,Monica,M,Lopez,0,1964-07-16,S,NULL,F,monica16@adventure-works.com,20000.00,2,2,High School,Manual,0,2,Postfach 11 05 00,NULL,1 (11) 500 555-0183,2008-07-16,0-1 Miles,Europe,53,0
22661,215,NULL,Tracy,NULL,Shan,0,1964-08-06,M,NULL,F,tracy9@adventure-works.com,30000.00,1,1,Bachelors,Skilled Manual,1,2,"58, rue des Berges",NULL,1 (11) 500 555-0198,2008-05-03,0-1 Miles,Europe,53,0
22662,241,NULL,Tyrone,S,Carlson,0,1964-02-15,M,NULL,M,tyrone17@adventure-works.com,30000.00,1,1,Bachelors,Skilled Manual,1,2,6300 Colfax Street,NULL,1 (11) 500 555-0193,2008-05-23,0-1 Miles,Europe,53,0
22663,191,NULL,Terrence,P,Deng,0,1966-02-18,S,NULL,M,terrence2@adventure-works.com,30000.00,2,2,Partial College,Manual,1,0,"995, rue de Courtaboeuf",NULL,1 (11) 500 555-0158,2008-03-27,0-1 Miles,Europe,51,1
22664,187,NULL,Dawn,A,Yang,0,1966-06-22,M,NULL,F,dawn6@adventure-works.com,40000.00,0,0,Bachelors,Professional,0,0,"8104bis, boulevard Saint Germain",NULL,1 (11) 500 555-0181,2008-04-10,0-1 Miles,Europe,51,1
22665,120,NULL,Orlando,L,Diaz,0,1966-12-13,S,NULL,M,orlando3@adventure-works.com,40000.00,0,0,Bachelors,Professional,0,0,Zollstr 28,NULL,1 (11) 500 555-0163,2007-11-17,0-1 Miles,Europe,50,1
22666,159,NULL,Mayra,NULL,Srini,0,1966-11-16,M,NULL,F,mayra8@adventure-works.com,40000.00,0,0,Bachelors,Professional,0,0,Herzogstr 5772,NULL,1 (11) 500 555-0116,2007-12-18,0-1 Miles,Europe,50,1
22667,239,NULL,Roy,M,Rana,0,1966-04-14,S,NULL,M,roy11@adventure-works.com,40000.00,0,0,Bachelors,Professional,1,0,2910 Boyd,NULL,1 (11) 500 555-0158,2007-07-07,0-1 Miles,Europe,51,1
22668,245,NULL,Adrienne,Y,Hernandez,0,1966-05-28,M,NULL,F,adrienne3@adventure-works.com,40000.00,0,0,Bachelors,Professional,0,0,4067 Sandiago Drive,NULL,1 (11) 500 555-0125,2007-07-20,0-1 Miles,Europe,51,1
22669,250,NULL,Lindsay,E,Raji,0,1966-08-20,S,NULL,F,lindsay21@adventure-works.com,40000.00,0,0,Bachelors,Professional,1,0,4371 Erie Dr.,NULL,1 (11) 500 555-0180,2007-07-23,0-1 Miles,Europe,51,1
22670,278,NULL,Erika,J,Sanz,0,1966-08-01,M,NULL,F,erika17@adventure-works.com,60000.00,0,0,Graduate Degree,Skilled Manual,1,0,378 Canyon Road,NULL,1 (11) 500 555-0132,2007-09-15,0-1 Miles,Europe,51,0
22671,243,NULL,Wyatt,NULL,King,0,1963-04-08,S,NULL,M,wyatt29@adventure-works.com,30000.00,2,2,Partial College,Manual,1,0,3980 Bridge,NULL,1 (11) 500 555-0184,2007-09-06,0-1 Miles,Europe,54,1
22672,241,NULL,Crystal,W,Wu,0,1963-07-08,S,NULL,F,crystal9@adventure-works.com,30000.00,2,2,Partial College,Clerical,1,0,7904 Eagle Peak Avenue,NULL,1 (11) 500 555-0151,2008-01-02,0-1 Miles,Europe,54,0
22673,222,NULL,Andy,NULL,Gill,0,1963-11-12,S,NULL,M,andy18@adventure-works.com,30000.00,2,2,Partial College,Clerical,1,0,"76, rue des Berges",NULL,1 (11) 500 555-0152,2008-03-17,0-1 Miles,Europe,53,1
22674,120,NULL,Troy,C,Prasad,0,1963-06-23,S,NULL,M,troy10@adventure-works.com,30000.00,2,2,Partial College,Clerical,1,0,Im Himmelsweg 89,NULL,1 (11) 500 555-0151,2008-01-03,0-1 Miles,Europe,54,1
22675,196,NULL,Alexandra,A,Winston,0,1965-07-23,S,NULL,F,alexandra65@adventure-works.com,30000.00,2,2,Partial College,Clerical,1,1,"7, place Beaubernard",Agence Taillefer,1 (11) 500 555-0160,2008-03-18,0-1 Miles,Europe,52,1
22676,193,NULL,Stefanie,NULL,Jordan,0,1965-04-15,S,NULL,F,stefanie1@adventure-works.com,30000.00,2,2,Partial College,Clerical,1,1,"88, impasse Notre-Dame",NULL,1 (11) 500 555-0157,2007-08-27,0-1 Miles,Europe,52,0
22677,132,NULL,Reginald,NULL,Carlson,0,1965-10-12,S,NULL,M,reginald4@adventure-works.com,30000.00,2,2,Partial College,Clerical,1,2,Marketplatz 5492,NULL,1 (11) 500 555-0173,2008-05-15,0-1 Miles,Europe,51,0
22678,120,NULL,Sydney,NULL,Lee,0,1964-03-20,M,NULL,F,sydney84@adventure-works.com,40000.00,1,0,Bachelors,Skilled Manual,1,0,Alte Landstr 722,NULL,1 (11) 500 555-0116,2008-01-17,0-1 Miles,Europe,53,1
22679,159,NULL,Derrick,A,Dominguez,0,1964-05-03,M,NULL,M,derrick12@adventure-works.com,40000.00,1,0,Bachelors,Skilled Manual,1,0,Auf der Krone 499,NULL,1 (11) 500 555-0177,2008-03-03,0-1 Miles,Europe,53,1
22680,151,NULL,Lee,D,Suarez,0,1964-04-12,M,NULL,M,lee18@adventure-works.com,40000.00,1,0,Bachelors,Skilled Manual,1,0,Heiderplatz 772,NULL,1 (11) 500 555-0192,2008-05-21,0-1 Miles,Europe,53,1
22681,220,NULL,Tristan,T,Barnes,0,1963-11-20,S,NULL,M,tristan3@adventure-works.com,30000.00,2,2,Partial College,Clerical,1,2,"1208, rue Maillard",NULL,1 (11) 500 555-0126,2007-12-12,0-1 Miles,Europe,53,0
22682,226,NULL,Willie,C,Luo,0,1963-11-26,S,NULL,M,willie25@adventure-works.com,30000.00,2,2,Partial College,Clerical,0,2,"76, rue de Berri",NULL,1 (11) 500 555-0143,2008-07-20,0-1 Miles,Europe,53,0
22683,190,NULL,David,NULL,Garcia,0,1963-09-03,S,NULL,M,david79@adventure-works.com,30000.00,3,3,Partial College,Clerical,1,0,"6699, rue de Longchamp",NULL,1 (11) 500 555-0146,2007-11-19,0-1 Miles,Europe,54,0
