GeographyKey,FirstName,MiddleName,LastName,MaritalStatus,Gender,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,NumberCarsOwned,CommuteDistance,Region,Age,AgeRegularBin,score
171,Whitney,Y,Gonzalez,S,F,0,0,Partial College,Manual,1,1-2 Miles,Europe,47,50,yes
233,Arthur,L,Munoz,S,M,2,2,High School,Manual,0,0-1 Miles,Europe,48,50,yes
141,Clarence,L,Cai,M,M,0,0,Bachelors,Clerical,0,0-1 Miles,Europe,47,50,yes
163,Brent,A,Chen,M,M,0,0,Bachelors,Clerical,0,0-1 Miles,Europe,46,50,yes
267,Chad,A,Deng,M,M,0,0,Graduate Degree,Clerical,0,0-1 Miles,Europe,47,50,yes
191,Franklin,M,Huang,S,M,0,0,Partial College,Manual,1,2-5 Miles,Europe,48,50,yes
264,Dale,M,Luo,S,M,0,0,Partial College,Manual,1,2-5 Miles,Europe,48,50,yes
255,Tommy,H,Shan,S,M,0,0,Bachelors,Clerical,0,0-1 Miles,Europe,47,50,yes
157,Misty,A,Xu,S,F,0,0,Bachelors,Clerical,0,0-1 Miles,Europe,48,50,yes
258,Jake,A,Zhang,S,M,0,0,Graduate Degree,Clerical,0,0-1 Miles,Europe,48,50,yes
117,Andres,A,Nath,M,M,0,0,Graduate Degree,Clerical,0,0-1 Miles,Europe,48,50,yes
244,Rosa,A,Cai,M,F,0,0,Graduate Degree,Clerical,0,0-1 Miles,Europe,48,50,yes
147,Robin,A,Hernandez,S,F,0,0,Graduate Degree,Skilled Manual,0,0-1 Miles,Europe,48,50,yes
157,Stefanie,R,Suri,S,F,0,0,Graduate Degree,Skilled Manual,0,0-1 Miles,Europe,48,50,yes
162,Xavier,A,Davis,M,M,0,0,Graduate Degree,Skilled Manual,0,0-1 Miles,Europe,47,50,yes
257,Neil,M,Sanz,M,M,3,0,Partial College,Manual,2,0-1 Miles,Europe,65,65,no
176,Jamie,M,Suarez,S,M,3,0,Partial College,Manual,2,0-1 Miles,Europe,65,65,yes
189,Sandra,A,Wu,M,F,3,0,High School,Manual,2,0-1 Miles,Europe,65,65,no
221,Meagan,A,Patel,S,F,3,3,High School,Manual,0,0-1 Miles,Europe,49,50,no
208,Arturo,A,Anand,S,M,3,3,High School,Manual,0,0-1 Miles,Europe,49,50,yes
144,Shawna,K,Sharma,S,F,1,1,Partial College,Manual,0,0-1 Miles,Europe,49,50,yes
130,Marshall,J,Lu,M,M,1,1,Partial College,Manual,1,2-5 Miles,Europe,49,50,yes
241,Matthew,A,Rodriguez,M,M,1,0,Graduate Degree,Clerical,0,0-1 Miles,Europe,36,50,no
237,Roger,A,Wu,M,M,1,0,Bachelors,Clerical,0,1-2 Miles,Europe,48,50,yes
237,Theodore,A,Serrano,S,M,1,0,Bachelors,Clerical,0,0-1 Miles,Europe,49,50,yes
199,Tabitha,C,Perez,M,F,0,0,Graduate Degree,Clerical,0,0-1 Miles,Europe,49,50,yes
120,Claudia,E,Zhao,S,F,0,0,Graduate Degree,Clerical,0,0-1 Miles,Europe,48,50,yes
241,Giraldo,Hierro,Sandoval,S,F,0,0,Graduate Degree,Clerical,0,0-1 Miles,Europe,49,50,yes
244,Kristi,L,Hernandez,S,F,0,0,Graduate Degree,Clerical,0,0-1 Miles,Europe,49,50,yes
265,Stacey,E,Zhu,S,F,0,0,Bachelors,Clerical,0,0-1 Miles,Europe,49,50,yes
267,Ana,R,Alexander,M,F,0,0,Bachelors,Clerical,0,0-1 Miles,Europe,48,50,yes
161,Kristi,A,Gutierrez,S,F,3,3,Partial High School,Manual,1,0-1 Miles,Europe,49,50,yes
239,Lori,M,Munoz,S,F,1,1,Partial College,Manual,1,2-5 Miles,Europe,50,50,yes
261,Caleb,A,Li,M,M,1,1,Partial College,Manual,1,2-5 Miles,Europe,50,50,yes
223,Abigail,G,Diaz,S,F,1,1,Partial College,Manual,1,2-5 Miles,Europe,50,50,yes
269,Garrett,A,Rivera,S,M,1,1,Partial College,Manual,1,1-2 Miles,Europe,50,50,yes
230,Brenda,D,Suri,S,F,1,1,High School,Manual,1,2-5 Miles,Europe,49,50,yes
147,Marc,C,Ortega,S,M,1,1,Bachelors,Clerical,0,1-2 Miles,Europe,50,50,yes
184,Isabella,A,Murphy,S,F,1,1,Bachelors,Clerical,1,0-1 Miles,Europe,50,50,yes
247,Cara,H,She,S,F,1,1,High School,Manual,1,1-2 Miles,Europe,51,65,yes
207,Taylor,D,Martinez,S,F,0,0,Bachelors,Clerical,0,0-1 Miles,Europe,49,50,yes
222,Kaitlin,J,Srini,S,F,0,0,Bachelors,Clerical,0,0-1 Miles,Europe,49,50,yes
184,Corey,A,Tang,S,M,1,1,Bachelors,Clerical,1,0-1 Miles,Europe,51,65,yes
115,Kristina,J,Suri,S,F,1,1,Bachelors,Clerical,1,0-1 Miles,Europe,51,65,yes
211,Frederick,A,Sara,S,M,1,1,Bachelors,Clerical,1,0-1 Miles,Europe,50,50,yes
168,Gilbert,B,Shan,S,M,2,2,High School,Manual,0,0-1 Miles,Europe,51,65,yes
256,Carolyn,F,Dominguez,S,F,2,2,High School,Manual,0,0-1 Miles,Europe,52,65,yes
215,Orlando,A,Romero,S,M,2,2,High School,Manual,1,0-1 Miles,Europe,52,65,yes
120,Lucas,M,Young,S,M,2,2,High School,Manual,1,0-1 Miles,Europe,52,65,yes
243,Willie,T,Goel,S,M,5,2,Partial High School,Manual,1,0-1 Miles,Europe,53,65,yes
273,Clinton,A,Suarez,S,M,3,2,Partial High School,Manual,1,0-1 Miles,Europe,53,65,no
220,Devin,A,Rodriguez,S,M,2,2,High School,Manual,2,0-1 Miles,Europe,52,65,no
120,Shawna,A,Luo,S,F,2,2,High School,Manual,2,0-1 Miles,Europe,53,65,no
155,Monica,M,Lopez,S,F,2,2,High School,Manual,2,0-1 Miles,Europe,53,65,no
215,Tracy,A,Shan,M,F,1,1,Bachelors,Skilled Manual,2,0-1 Miles,Europe,53,65,no
241,Tyrone,S,Carlson,M,M,1,1,Bachelors,Skilled Manual,2,0-1 Miles,Europe,53,65,no
191,Terrence,P,Deng,S,M,2,2,Partial College,Manual,0,0-1 Miles,Europe,51,65,yes
187,Dawn,A,Yang,M,F,0,0,Bachelors,Professional,0,0-1 Miles,Europe,51,65,yes
120,Orlando,L,Diaz,S,M,0,0,Bachelors,Professional,0,0-1 Miles,Europe,50,50,yes
159,Mayra,A,Srini,M,F,0,0,Bachelors,Professional,0,0-1 Miles,Europe,50,50,yes
239,Roy,M,Rana,S,M,0,0,Bachelors,Professional,0,0-1 Miles,Europe,51,65,yes
245,Adrienne,Y,Hernandez,M,F,0,0,Bachelors,Professional,0,0-1 Miles,Europe,51,65,yes
250,Lindsay,E,Raji,S,F,0,0,Bachelors,Professional,0,0-1 Miles,Europe,51,65,yes
278,Erika,J,Sanz,M,F,0,0,Graduate Degree,Skilled Manual,0,0-1 Miles,Europe,51,65,no
243,Wyatt,A,King,S,M,2,2,Partial College,Manual,0,0-1 Miles,Europe,54,65,yes
241,Crystal,W,Wu,S,F,2,2,Partial College,Clerical,0,0-1 Miles,Europe,54,65,no
222,Andy,A,Gill,S,M,2,2,Partial College,Clerical,0,0-1 Miles,Europe,53,65,yes
120,Troy,C,Prasad,S,M,2,2,Partial College,Clerical,0,0-1 Miles,Europe,54,65,yes
196,Alexandra,A,Winston,S,F,2,2,Partial College,Clerical,1,0-1 Miles,Europe,52,65,yes
193,Stefanie,A,Jordan,S,F,2,2,Partial College,Clerical,1,0-1 Miles,Europe,52,65,no
132,Reginald,A,Carlson,S,M,2,2,Partial College,Clerical,2,0-1 Miles,Europe,51,65,no
120,Sydney,A,Lee,M,F,1,0,Bachelors,Skilled Manual,0,0-1 Miles,Europe,53,65,yes
159,Derrick,A,Dominguez,M,M,1,0,Bachelors,Skilled Manual,0,0-1 Miles,Europe,53,65,yes
151,Lee,D,Suarez,M,M,1,0,Bachelors,Skilled Manual,0,0-1 Miles,Europe,53,65,yes
220,Tristan,T,Barnes,S,M,2,2,Partial College,Clerical,2,0-1 Miles,Europe,53,65,no
226,Willie,C,Luo,S,M,2,2,Partial College,Clerical,2,0-1 Miles,Europe,53,65,no
190,David,A,Garcia,S,M,3,3,Partial College,Clerical,0,0-1 Miles,Europe,54,65,no
147,Lauren,W,Cooper,M,F,1,0,Bachelors,Skilled Manual,0,0-1 Miles,Europe,54,65,yes
132,Barbara,A,Ma,S,F,3,3,Partial College,Clerical,1,0-1 Miles,Europe,38,50,yes
251,Wayne,H,Anand,S,M,3,3,Partial College,Clerical,2,0-1 Miles,Europe,38,50,yes
246,Javier,M,Jiménez,M,M,1,0,Bachelors,Skilled Manual,0,0-1 Miles,Europe,53,65,yes
121,Seth,A,Perez,S,M,1,0,Partial College,Clerical,1,2-5 Miles,Europe,55,65,no
211,Gilbert,A,Zheng,S,M,1,0,Partial College,Clerical,1,0-1 Miles,Europe,55,65,yes
211,Kurt,C,Luo,M,M,1,0,Bachelors,Skilled Manual,1,0-1 Miles,Europe,55,65,yes
219,Gerald,V,Raman,M,M,1,0,Bachelors,Skilled Manual,1,0-1 Miles,Europe,55,65,yes
185,Paula,L,Alonso,M,F,1,0,Bachelors,Skilled Manual,1,0-1 Miles,Europe,54,65,yes
226,Darryl,A,Gao,M,M,1,0,Bachelors,Skilled Manual,1,0-1 Miles,Europe,55,65,yes
129,Molly,N,Kapoor,S,F,3,3,Partial College,Clerical,2,0-1 Miles,Europe,39,50,yes
256,Darren,A,Martin,S,M,4,4,Partial College,Clerical,3,0-1 Miles,Europe,39,50,yes
191,Kari,A,Vazquez,S,F,0,0,High School,Manual,1,2-5 Miles,Europe,40,50,no
221,Harold,S,Sara,S,M,0,0,High School,Manual,1,2-5 Miles,Europe,40,50,no
211,Bradley,A,Andersen,M,M,0,0,Partial High School,Manual,2,0-1 Miles,Europe,42,50,no
160,Clarence,A,Chande,M,M,0,0,Partial High School,Manual,2,0-1 Miles,Europe,42,50,no
123,Gina,A,Serrano,M,F,0,0,Partial High School,Manual,2,0-1 Miles,Europe,42,50,no
168,Anne,A,Navarro,S,F,0,0,High School,Manual,1,5-10 Miles,Europe,42,50,no
215,Patricia,G,Gonzalez,S,F,0,0,High School,Manual,1,5-10 Miles,Europe,42,50,no
211,Melvin,D,Raji,S,M,0,0,High School,Manual,1,5-10 Miles,Europe,41,50,no
197,Bethany,B,Raje,S,F,0,0,High School,Manual,1,5-10 Miles,Europe,41,50,no
125,Adriana,A,Kapoor,S,F,0,0,Partial High School,Manual,1,2-5 Miles,Europe,41,50,no
132,Andy,A,Ruth,S,F,0,0,Partial College,Clerical,1,2-5 Miles,Europe,41,50,no
171,Haley,A,Russell,S,F,0,0,Partial College,Clerical,1,2-5 Miles,Europe,41,50,no
219,Anne,J,Ruiz,S,F,0,0,Partial High School,Manual,2,0-1 Miles,Europe,43,50,no
186,Tamara,A,Gao,S,F,0,0,Partial High School,Manual,2,0-1 Miles,Europe,43,50,no
145,Trisha,A,Zhao,M,F,0,0,Partial High School,Manual,2,0-1 Miles,Europe,42,50,no
131,Isaiah,G,Hernandez,S,M,0,0,Partial College,Clerical,1,0-1 Miles,Europe,44,50,yes
184,Monique,A,Romero,S,F,0,0,Partial College,Clerical,1,2-5 Miles,Europe,43,50,yes
49,Joseph,A,Miller,S,M,3,0,Partial College,Professional,2,0-1 Miles,North America,61,65,yes
64,Angelica,A,Alexander,M,F,4,4,Partial College,Professional,3,0-1 Miles,North America,52,65,no
66,Marcus,A,Watson,M,M,4,4,Partial College,Professional,3,0-1 Miles,North America,51,65,no
614,Caleb,A,Nelson,S,M,3,1,Bachelors,Management,0,2-5 Miles,North America,52,65,yes
644,Nicole,S,Watson,M,F,4,1,Partial College,Professional,0,2-5 Miles,North America,52,65,yes
299,Zachary,L,Simmons,M,M,2,2,Bachelors,Management,3,2-5 Miles,North America,52,65,yes
311,Jesse,A,Brooks,S,M,3,2,Bachelors,Management,0,2-5 Miles,North America,51,65,yes
32,Michele,J,Ramos,S,F,5,5,Graduate Degree,Management,3,0-1 Miles,Pacific,51,65,no
19,Marco,L,Patel,S,M,5,5,Bachelors,Professional,3,0-1 Miles,Pacific,51,65,no
31,Mackenzie,A,Hill,S,F,0,0,Bachelors,Professional,0,0-1 Miles,Pacific,51,65,yes
37,Martin,A,Perez,M,M,0,0,Bachelors,Professional,0,0-1 Miles,Pacific,51,65,yes
17,Max,L,Rubio,M,M,3,3,Bachelors,Professional,1,2-5 Miles,Pacific,52,65,no
18,Dawn,F,Zheng,M,F,3,3,Bachelors,Professional,1,2-5 Miles,Pacific,52,65,no
12,Eddie,A,Sanz,M,M,3,3,Bachelors,Professional,2,5-10 Miles,Pacific,52,65,no
35,Todd,A,Ma,M,M,5,5,Bachelors,Professional,0,10+ Miles,Pacific,52,65,no
20,Bethany,A,Luo,S,F,5,5,Bachelors,Professional,0,10+ Miles,Pacific,49,50,no
3,Jake,L,Li,M,M,5,5,Bachelors,Professional,0,10+ Miles,Pacific,49,50,no
23,Terrance,A,Sanchez,S,M,0,0,Bachelors,Professional,1,5-10 Miles,Pacific,49,50,no
31,Kristi,A,Fernandez,S,F,0,0,Bachelors,Professional,1,5-10 Miles,Pacific,48,50,no
26,Alvin,M,Sharma,S,M,0,0,Bachelors,Professional,1,5-10 Miles,Pacific,49,50,yes
39,Alyssa,A,Martin,M,F,5,5,Bachelors,Professional,0,0-1 Miles,Pacific,49,50,no
40,Raymond,R,Raman,M,M,5,5,Bachelors,Professional,0,1-2 Miles,Pacific,49,50,yes
15,Jake,A,Huang,M,M,3,3,Bachelors,Professional,2,5-10 Miles,Pacific,53,65,no
26,Martin,S,Subram,M,M,4,4,Bachelors,Professional,3,10+ Miles,Pacific,53,65,no
40,Derek,D,Raji,S,M,0,0,Bachelors,Professional,1,5-10 Miles,Pacific,53,65,no
3,Tara,A,Xu,S,F,3,2,Bachelors,Professional,2,0-1 Miles,Pacific,54,65,yes
22,Carla,K,Rana,S,F,3,2,Bachelors,Professional,2,0-1 Miles,Pacific,53,65,yes
26,Suzanne,A,Liu,S,F,0,0,Bachelors,Professional,1,0-1 Miles,Pacific,54,65,yes
37,Carl,A,Raji,S,M,0,0,Bachelors,Professional,1,0-1 Miles,Pacific,54,65,yes
3,Allen,A,Fernandez,S,M,0,0,Bachelors,Professional,1,0-1 Miles,Pacific,54,65,yes
9,Jay,A,Martin,M,M,4,4,Bachelors,Professional,0,0-1 Miles,Pacific,50,50,no
18,Kaitlyn,A,Powell,M,F,1,0,Bachelors,Professional,1,5-10 Miles,Pacific,54,65,yes
29,Alvin,A,Jai,M,M,1,0,Partial College,Skilled Manual,1,0-1 Miles,Pacific,56,65,yes
8,Lacey,A,Andersen,M,F,1,0,Partial College,Skilled Manual,1,5-10 Miles,Pacific,56,65,no
24,Alfredo,A,Suarez,M,M,1,0,Partial College,Skilled Manual,1,0-1 Miles,Pacific,56,65,yes
8,Stanley,A,Madan,S,M,0,0,Bachelors,Professional,1,2-5 Miles,Pacific,51,65,yes
8,Tabitha,L,Hernandez,S,F,0,0,Bachelors,Professional,1,5-10 Miles,Pacific,50,50,no
11,Wendy,J,Blanco,S,F,0,0,Graduate Degree,Management,1,5-10 Miles,Pacific,51,65,no
17,Brad,H,Shan,M,M,1,0,Partial College,Skilled Manual,1,0-1 Miles,Pacific,56,65,yes
25,Gabriel,A,Parker,S,M,3,0,High School,Skilled Manual,2,5-10 Miles,Pacific,85,50,no
21,Troy,R,Subram,S,M,0,0,Bachelors,Professional,1,5-10 Miles,Pacific,52,65,yes
9,Harold,A,Prasad,M,M,5,5,Bachelors,Professional,0,1-2 Miles,Pacific,51,65,no
34,Kari,A,Martinez,S,F,0,0,Bachelors,Professional,1,0-1 Miles,Pacific,53,65,yes
2,Deborah,A,Andersen,M,F,1,0,Bachelors,Professional,1,5-10 Miles,Pacific,58,65,no
2,Meagan,A,Prasad,S,F,0,0,Bachelors,Professional,1,0-1 Miles,Pacific,53,65,yes
25,Marvin,A,Sanz,S,M,0,0,Bachelors,Professional,1,0-1 Miles,Pacific,54,65,yes
26,Ruben,A,Garcia,S,M,0,0,Bachelors,Professional,2,5-10 Miles,Pacific,54,65,yes
27,Wyatt,E,Williams,S,M,0,0,Bachelors,Professional,2,0-1 Miles,Pacific,54,65,yes
4,Franklin,A,Sun,S,M,1,0,Partial College,Skilled Manual,1,5-10 Miles,Pacific,54,65,yes
31,Stefanie,K,Rana,M,F,1,0,Partial College,Skilled Manual,1,0-1 Miles,Pacific,55,65,yes
9,Keith,A,Nath,M,M,5,4,Bachelors,Professional,2,5-10 Miles,Pacific,55,65,no
27,Ross,A,Johnsen,M,M,5,4,Partial College,Skilled Manual,2,0-1 Miles,Pacific,55,65,no
40,Eduardo,A,Morris,M,M,5,4,Partial College,Skilled Manual,2,5-10 Miles,Pacific,54,65,no
4,Andy,A,Vazquez,S,M,1,0,Partial College,Skilled Manual,1,5-10 Miles,Pacific,55,65,yes
27,Mariah,H,Barnes,M,F,5,4,Bachelors,Professional,1,0-1 Miles,Pacific,59,65,yes
5,Roger,A,Yuan,M,M,2,0,Bachelors,Professional,1,5-10 Miles,Pacific,58,65,no
10,Cristina,D,Tang,M,F,4,0,Bachelors,Management,2,0-1 Miles,Pacific,58,65,no
14,Wesley,L,Zhu,M,M,1,0,Partial College,Skilled Manual,1,5-10 Miles,Pacific,60,65,no
24,Ivan,C,Gonzalez,S,M,1,0,Partial College,Skilled Manual,1,5-10 Miles,Pacific,60,65,no
4,Bradley,A,Anand,M,M,5,4,Partial College,Skilled Manual,3,5-10 Miles,Pacific,56,65,no
30,Kari,A,Blanco,M,F,5,4,Partial College,Skilled Manual,3,10+ Miles,Pacific,57,65,no
40,Holly,B,Martinez,S,F,1,0,Partial College,Skilled Manual,1,0-1 Miles,Pacific,60,65,yes
22,Theresa,L,Carlson,M,F,1,0,Partial College,Skilled Manual,1,5-10 Miles,Pacific,61,65,no
25,Jodi,E,Raje,M,F,1,0,Partial College,Skilled Manual,1,5-10 Miles,Pacific,61,65,no
2,Timothy,A,Scott,M,M,2,0,Bachelors,Management,1,0-1 Miles,Pacific,64,65,yes
10,Lawrence,A,Vazquez,S,M,2,1,High School,Skilled Manual,2,5-10 Miles,Pacific,67,80,no
325,Destiny,B,Gray,S,F,0,0,High School,Skilled Manual,2,5-10 Miles,North America,41,50,no
307,Gregory,A,Nath,M,M,0,0,High School,Skilled Manual,1,5-10 Miles,North America,42,50,no
536,Dawn,J,Shan,S,F,0,0,High School,Skilled Manual,2,5-10 Miles,North America,40,50,no
536,Jessica,A,Lee,M,F,0,0,High School,Skilled Manual,2,5-10 Miles,North America,40,50,no
609,Eduardo,F,Long,S,M,0,0,High School,Skilled Manual,2,0-1 Miles,North America,41,50,no
552,Kimberly,P,Peterson,M,F,0,0,High School,Skilled Manual,2,0-1 Miles,North America,36,50,no
307,Victor,A,Gill,S,M,0,0,High School,Skilled Manual,2,5-10 Miles,North America,37,50,no
60,Richard,T,Walker,M,M,0,0,High School,Skilled Manual,2,5-10 Miles,North America,37,50,no
542,Richard,A,Evans,S,M,0,0,Partial High School,Clerical,2,5-10 Miles,North America,37,50,no
52,Kaylee,A,Evans,S,F,0,0,Partial High School,Clerical,2,5-10 Miles,North America,38,50,no
547,Jacqueline,F,Watson,M,F,0,0,High School,Skilled Manual,2,5-10 Miles,North America,38,50,no
307,Gloria,A,Gill,S,F,0,0,Partial High School,Clerical,2,5-10 Miles,North America,40,50,no
60,Carlos,A,Rogers,M,M,0,0,High School,Skilled Manual,2,0-1 Miles,North America,40,50,no
53,Ian,A,Lee,S,M,0,0,Partial High School,Clerical,2,5-10 Miles,North America,38,50,no
57,Hailey,A,Sanders,S,F,0,0,Partial High School,Clerical,2,5-10 Miles,North America,37,50,no
62,Lauren,A,Hall,S,F,0,0,Partial High School,Clerical,2,5-10 Miles,North America,37,50,no
623,Elizabeth,L,Martin,S,F,0,0,High School,Skilled Manual,2,5-10 Miles,North America,38,50,no
22,Sabrina,A,Sanz,M,F,2,0,Partial College,Clerical,2,0-1 Miles,Pacific,78,80,no
12,Jarrod,C,Perez,M,M,2,0,Bachelors,Management,2,5-10 Miles,Pacific,77,80,no
36,Douglas,W,Rodriguez,S,M,2,0,Bachelors,Management,2,5-10 Miles,Pacific,74,80,yes
27,Tina,A,Gonzalez,M,F,2,0,Graduate Degree,Management,1,5-10 Miles,Pacific,75,80,yes
543,Richard,M,Alexander,M,M,0,0,High School,Skilled Manual,2,1-2 Miles,North America,41,50,no
383,Cindy,M,Murphy,S,F,0,0,Partial College,Skilled Manual,1,1-2 Miles,North America,40,50,no
326,Sydney,A,Travers,M,F,0,0,Partial College,Skilled Manual,1,5-10 Miles,North America,43,50,no
635,Emily,A,Griffin,S,F,0,0,Bachelors,Management,1,0-1 Miles,North America,45,50,yes
361,Dylan,W,Russell,S,M,4,4,Bachelors,Management,1,1-2 Miles,North America,49,50,yes
337,Wyatt,A,Robinson,S,M,0,0,Partial College,Skilled Manual,2,5-10 Miles,North America,53,65,yes
368,Devin,A,Hill,M,M,4,3,Bachelors,Management,0,0-1 Miles,North America,54,65,no
53,Nathaniel,A,Cox,S,M,4,4,Bachelors,Management,1,1-2 Miles,North America,49,50,yes
59,Lauren,E,Powell,M,F,4,4,Bachelors,Management,1,1-2 Miles,North America,49,50,no
607,Alex,A,Allen,M,M,4,4,Partial College,Skilled Manual,3,0-1 Miles,North America,48,50,no
547,Ethan,A,Alexander,S,M,3,0,Bachelors,Management,3,1-2 Miles,North America,49,50,no
299,Eduardo,C,Gonzales,M,M,2,1,Graduate Degree,Management,3,1-2 Miles,North America,49,50,no
31,Hailey,C,Alexander,M,F,5,0,High School,Skilled Manual,2,5-10 Miles,Pacific,72,80,no
38,Billy,C,Carlson,M,M,4,0,High School,Skilled Manual,2,1-2 Miles,Pacific,73,80,no
612,Erick,C,Patel,M,M,0,0,Partial College,Skilled Manual,1,1-2 Miles,North America,38,50,no
638,Hailey,A,Hill,S,F,0,0,Partial College,Skilled Manual,1,5-10 Miles,North America,39,50,no
301,Erik,S,Gutierrez,S,M,0,0,Partial College,Skilled Manual,2,5-10 Miles,North America,39,50,yes
311,Michael,B,Davis,M,M,0,0,Partial College,Skilled Manual,2,5-10 Miles,North America,39,50,yes
20,Rosa,A,Zhao,M,F,2,1,Partial High School,Clerical,2,1-2 Miles,Pacific,72,80,no
11,Mathew,A,Navarro,M,M,2,1,Partial High School,Clerical,2,1-2 Miles,Pacific,72,80,no
26,Casey,C,Deng,S,F,2,1,Partial High School,Clerical,2,5-10 Miles,Pacific,71,80,no
33,Dwayne,A,Gill,M,M,4,0,High School,Skilled Manual,2,5-10 Miles,Pacific,71,80,no
17,Diana,A,Gutierrez,M,F,4,0,High School,Skilled Manual,2,1-2 Miles,Pacific,71,80,no
23,Dylan,A,Shan,M,M,4,0,High School,Skilled Manual,2,1-2 Miles,Pacific,70,80,no
612,Martin,A,Rodriguez,M,M,1,1,Graduate Degree,Skilled Manual,0,1-2 Miles,North America,46,50,yes
312,Erick,C,Rana,M,M,1,1,Graduate Degree,Skilled Manual,0,1-2 Miles,North America,46,50,yes
543,Jan,A,King,M,F,1,1,Graduate Degree,Skilled Manual,0,0-1 Miles,North America,45,50,yes
50,Morgan,A,King,M,F,1,1,Graduate Degree,Skilled Manual,0,1-2 Miles,North America,45,50,yes
623,Eric,A,Kumar,M,M,1,1,Bachelors,Skilled Manual,0,0-1 Miles,North America,45,50,yes
545,Marcus,A,Parker,M,M,1,0,Graduate Degree,Skilled Manual,0,0-1 Miles,North America,45,50,yes
631,Alexandra,A,Lee,S,F,0,0,Partial College,Professional,1,10+ Miles,North America,53,65,no
300,Brandy,C,Perez,M,F,3,2,Bachelors,Management,0,1-2 Miles,North America,53,65,no
314,Charles,D,Hernandez,M,M,2,2,Graduate Degree,Management,2,0-1 Miles,North America,53,65,no
345,Connor,A,Coleman,M,M,3,2,Bachelors,Management,3,0-1 Miles,North America,53,65,yes
352,Timothy,A,Baker,M,M,4,3,Partial College,Professional,0,0-1 Miles,North America,61,65,no
641,Elizabeth,E,Gonzales,S,F,2,1,Partial College,Professional,0,5-10 Miles,North America,61,65,yes
369,Robert,C,White,S,M,0,0,Graduate Degree,Management,3,1-2 Miles,North America,83,50,yes
